id,name,abbreviation,grams,milliliters,universal,unmeasurable
0,штука;штуки;штук,шт,,,,
1,грамм;грамма;грамм,г,1,,true,
2,милилитр;милилитра;милилитров,мл,,1,true,
3,килограмм;килограмма;килограмм,кг,1000,,true,
4,стакан;стакана;стаканов,ст,,250,true,
5,"чайная ложка;чайные ложки;чайных ложек",ч.л,,5,true,
6,"десертная ложка;десертные ложки;десертных ложек",дс.л,,10,true,
7,"столовая ложка;столовые ложки;столовых ложек",ст.л,,12,true,
8,децилитр;децилитра;децилитров,дл,,100,true,
9,литр;литра;литров,л,,1000,true,
10,головка;головки;головок,головка;головки;головок,,,,
11,"по вкусу","по вкусу",,,,true
12,"на кончике ножа","на кончике ножа",,,,true
13,щепотка,щепотка,,,,true
14,зубчик;зубчика;зубчиков,зубчик;зубчика;зубчиков,,,,
15,пучок;пучка;пучков,пучок;пучка;пучков,,,,
